Multiplier Combination,Number of Balls,Hidden Multiplier,Individual Catch Rate,Cumulative Catch Rate,Odds to Not Catch
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=2",10,0.02,0.04,0.3351673640084991,0.96
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=2",11,0.02,0.04,0.3617606694481592,0.96
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=2",12,0.02,0.04,0.3872902426702328,0.96
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=2",13,0.02,0.04,0.41179863296342356,0.96
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=2",14,0.02,0.04,0.4353266876448867,0.96
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=2",15,0.02,0.04,0.4579136201390912,0.96
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=2",16,0.02,0.04,0.4795970753335276,0.96
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=2",17,0.02,0.04,0.5004131923201864,0.96
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=2",18,0.02,0.04,0.520396664627379,0.96
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=2",19,0.02,0.04,0.539580798042284,0.96
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=2",20,0.02,0.04,0.5579975661205926,0.96
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",1,0.02,0.021,0.02100000000000002,0.979
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",2,0.02,0.02205,0.04258695000000001,0.97795
"Legendary=0.02, Berry=1, Throw=1, Medal=1, Curve=1, Ball=-1",3,0.02,0.023152500000000003,0.06475345564012502,0.9768475
